"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2158659217.87709","","","","","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","73843650234.1673","75343346219.8009","77042131323.3706","78501028305.4687","81267655431.4919","76551473307.4865","75459118160.0484","76603958852.0246","79749125511.5681","85536881082.7621","85952957773.9566","89378314279.4564","94837271476.7011","96544952462.9807","96313404365.589","95000982782.3597","97608320408.9357","108058269445.272","111379083825.278","121082932170.794","130457878297.507","135203412263.73","139701590048.634","152811942726.343","159878967361.157","166202322843.365","173049853485.546","179139841016.497","188331687922.198","206194414631.772","222067736756.849","244826903812.669","256278479522.261","237658518231.765","251170040845.221","227253868492.143","196546633813.064","205818017996.844","219427513349.979","212172697051.562","205886206600.708","215408107719.313","224364420455.092","218278818103.525","192775975167.589","212656138586.755",
"Afghanistan","AFG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59136429040.858","61492494803.4361","53340128414.8312","58203795435.5236","61439248604.6268","61656415419.6025","60200539167.1478","71405535496.2045","72601327854.5119","70498157843.0049","72382923750.0379","65300260568.9085","68921003357.1261","73387772039.5957","75583728340.0517","81394925255.9906","105773902357.758","99352999311.8671","118082282728.678","102893843790.075","111119593970.099","128273688881.339","131294261032.263","117165372637.989","131009119380.692","133484031243.339","140034499642.99","155018903852.966","156943429647.335","174978343144.953","131118959774.261","130706439362.952",
"Angola","AGO","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16293934744.5322","16082113592.8533","17788716275.4123","21867668917.3644","24992558805.6557","29131326543.8723","32225073422.8316","31370941763.7138","30624648339.548","29055410323.5451","30566252292.9846","30207434822.9611","30420286173.7729","25951752164.8067","21177791205.4035","26375599824.601","24367368993.0168","20123749859.6959","18775458619.0962","20732800180.137",
"Albania","ALB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326109796.802812","266515063.80349","356686380.657701","617412664.163879","857470735.934975","990002860.880827","1025171413.59266","1145867419.16459","1357667966.99103","1687131306.39411","1972719243.54763","2349749309.08078","2241060080.40264","2346648431.0909","2797054267.48394","2983732330.37477","2992492280.6568","3040042848.42561","3075088501.78847","3104896964.71229","3457010821.06097","3914838501.55922","4072440421.1673","4179781429.47155","3015234051.98186","4417690606.93232",
"Andorra","AND","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","593057174957.401","584853260293.071","665378728890.564","740650568474.522","805725626895.938","859627246046.31","906151357759.532","960747013161.217","894304673139.912","942437830008.03","951723287010.803","1031409285869.64","1043385175814.35","1036560134989.39","1044203750047.42","1068377044837.45","1095648343267.93","1196176744134.64","1171361540821.79","1031062255692.47","",
"United Arab Emirates","ARE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95474047475.1197","98481870208.5612","121044259825.13","150753828466.017","168063768037.671","187443612335.936","203998754765.748","229366458070.923","219505407869.682","233246030046.899","270719860243.007","317971273999.133","337346841915.874","343426153454.405","361252552756.978","373553486078.778","364138216219.941","406017736463.54","400580456434.732","372439807650.712","",
"Argentina","ARG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","5232423634.42914","4675767446.08636","6791012783.09319","6791012783.09319","6234376464.1382","6791012783.09319","7904292800.74654","7904292800.74654","7347660171.89877","8906251165.38089","9013135452.44428","8118045999.66209","8282808731.53228","9440628603.95403","9462883794.69975","8583388373.73457","11288671241.9483","14372484706.686","15652680713.1575","15151716645.7701","14372484706.686","15120415374.0935","15717150490.8118","16123062538.4867","15705233732.1126","18148029532.2584","16284164980.3063","15717150490.8118","18659332788.746","20045781619.3356","23656348273.5258","22799008061.799","22564247943.5963","23463026769.6373","27051830214.4022","33146105665.3658","35680720379.3792","40025718989.1159","44277808443.6758","43719784992.0728","44901264661.8391","46132004177.4208","47558846392.9744","50410174346.9503","54500535536.2542","61523927130.2795","64945397756.2739","70247833528.5135","70767579313.6332","64152858356.3363","73068125669.1088","76099586869.35","72973178922.7426","70404347638.8073","65490710336.0292","63671789068.8987","67057443560.298","68811257871.9443","69255776018.3655","76008924331.3521","62546382587.7048","68311642980.8742",
"Armenia","ARM","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1322190475.24263","685215201.725657","739059783.570967","688211605.597774","687729133.737498","779493099.660542","925721968.329227","1178101895.27411","1583599517.83244","2067475233.79072","2015694760.5075","2344004145.44144","2171975730.40491","2095777829.51363","1821650394.06733","1631549237.16508","2063909295.26346","2371396211.38797","2588036946.76378","2810608124.18547","2990487044.23194","3137020909.22235","3805206363.02273","4539611191.01018","4766591750.60471","5529246430.61343","3676948876.39875","4287322389.88096",
"American Samoa","ASM","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771192592.592592","756133333.333333","632488888.888889","664985185.185185","620600000","628525925.925926","626148148.148148","492200000","413733333.333333","365385185.185185","382822222.222222","381237037.037037","398674074.074074","428000000","423244444.444444","330511111.111111","374896296.296296","355081481.481482","391540740.740741","285333333.333333",
"Antigua and Barbuda","ATG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1016370370.37037","","","","","","",
