"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2328491620.11173","","","","","","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","251217564478.049","256484617398.378","265533197996.08","259672843923.553","263042565629.391","273035502599.507","285470351473.782","295098335146.209","303368492409.428","309314228645.687","311164107481.048","318244429210.871","326226974637.809","338863389558.117","350765298663.159","362704460461.725","373560337618.412","381385069387.57","390270039150.169","405422214905.421","419224367966.695","439110041119.537","465133293478.028","490953824672.453","526612900838.942","555781424077.242","572581194227.309","585685129426.269","617882800285.387","640023196089.497","666983555216.934","697007149725.339","718501702284.309","745246457353.965","759683966963.497","776308295484.295","792560727797.891","809087301716.319","793499006086.521","831332959069.31",
"Afghanistan","AFG","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","182706165232.683","168823354316.704","141266219017.728","147340698898.984","171915209643.114","165066917589.901","158427974032.404","164634255743.001","155528076230.236","179765427482.178","188941329443.449","208774223060.993","198717773192.963","183548624612.231","191851073874.508","221424676513.46","219892644566.614","223553390043.091","217039669375.986","220670079650.166","300475688735.954","333339801769.642","360415517314.835","376702867725.83","415277744879.264","385958702476.153","491726980376.496","451703073944.212","512156714820.366","533731215220.148","533849205371.857","543791431917.28","620395322088.929","625864331164.264","635704436373.349","616162552863.553","618863115317.457","657134052871.913","668975668909.733","691029214175.397","782047464945.819",
"Angola","AGO","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26755784726.4457","28547887186.0968","29499673748.8496","31228266128.4422","33651579578.1207","35956712782.5642","39394075851.3355","40618998373.538","42357268429.597","49018769306.9541","52265458117.6128","58882910129.4497","60576789624.1619","60335546594.1417","61537920288.6405","63001656664.854","61049503500.8992","58357153020.9804","55975853084.0489","58027178334.2742",
"Albania","ALB","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6537439943.51934","5396641658.85952","5086632889.22503","5219375643.32891","5447223434.84032","5697235727.88917","6093294906.67199","6642585175.12422","6892632508.21032","7264758737.65577","7682641512.16544","8575194794.47031","9387697972.93065","9486234250.97064","9671013137.49131","9828774407.40003","9841136455.45872","10034740352.8588","10360619122.7699","10453742764.6658","10708589436.2361","10979644763.4797","11298029405.9454","11560879128.8603","11226531265.6706","11744848595.2398",
"Andorra","AND","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916143698748.252","944726869184.572","972632138013.882","1010720342849.9","1077778856636.36","1135674318760.44","1220275271658.74","1316593631358.13","1419689489237.42","1425409753315.86","1426430404096.39","1520249365024.2","1592596680553.32","1668658072409.44","1781484729504.37","1765730250654.14","1764377920209.04","1826460284349.22","1875086988980.64","1930152020409.54","1889930330557.11","1963369545654.69",
"United Arab Emirates","ARE","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164013558699.8","173843936943.096","177989944833.499","194684807175.047","197623774153.664","222943144586.042","247425430416.966","276878320759.507","216272224151.714","165735446899.013","184371974558.894","167527271172.007","185189781628.124","202596332403.599","171335879972.771","172901734409.568","190151330116.644","196305463766.084","215859572590.394","195683942807.446","",
"Argentina","ARG","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","109326023229.374","119942258928.239","116939349429.677","113601673540.01","125606077164.123","136462569403.981","134982524309.382","139094275733.61","145537832971.853","154775148099.515","157986125146.03","166128347822.427","168583168991.994","176260884408.694","188800998401.065","188761840563.35","175773435518.087","179768930127.772","177771857604.127","201831249243.194","214714315250.798","207019045141.598","197540035385.893","205909108078.043","214472620541.903","197215976532.686","215486676168.915","219248573233.856","210196273466.461","197587290314.992","194445193455.763","223190065490.558","252665441456.711","264154033234.623","277757615459.432","267825034566.191","281178649162.268","303850402358.481","314355009306.036","310272627208.082","308829967824.856","292902847021.985","255321675083.125","273115447949.17","295918203245.756","318867854089.059","350339486290.806","382307537908.661","408810156695.797","392949345623.007","433505028659.395","471108934593.607","477583769075.096","496099339926.49","479669494720.951","499614480942.488","495916395302.588","515354487027.184","504064138330.98","472966405124.2","416701315425.136","456367469658.226",
