"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8150.17743798551","7780.89479057489","7547.62067034422","7480.86924394567","7595.75482199927","7785.45462315627","7906.52850053967","7830.28276390814","7815.3870102918","7843.66375452474","7894.10461220554","7978.43898402829","7980.47439881376","8145.52411090264","8389.21394443955","8700.90536580646","9023.19776006278","9143.29084278804","8998.82376343041","9305.08778114779","9411.37469518802","9344.31930895693","9432.40683760881","9537.2458646587","9543.2234190436","9512.60031725177","9495.34423143238","9475.82400571022","9425.34370964753","9202.8245232219","9293.5431278145",
"Afghanistan","AFG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6152.39288071544","6190.4952533087","6009.54742390102","6416.7557451089","6444.60895538067","7305.42456772973","7467.39077216012","8681.15028015336","9587.23201408673","9101.10484252859","9699.51004384957","9757.62481593876","9529.54122799163","9279.47794076291","9190.84102297954","9089.06383061441","8854.12950437648","8864.33894499117","9541.77095707522","7467.04764798423",
"Africa Western and Central","AFW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7944.85415979599","7925.75570452508","7630.74104344644","7422.04610369536","7373.98575782529","7510.01688587705","7624.02419468783","7682.42302032795","7618.78645153316","7691.94462354818","7874.66228582309","8377.66801298626","8599.55250115538","9023.72667097525","9296.6029251373","9532.88212234833","9790.01365284372","10150.3512460022","10505.8460555679","10953.6127888263","11197.7611981267","11731.0267961478","12356.0323703771","12811.8397717807","12816.3817994154","12649.9769195463","12684.980529942","12720.8631404572","12780.3624253138","12650.1411865493","12729.7894240339",
"Angola","AGO","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14265.1690391899","13025.9478289708","9611.02620053373","9439.08678370917","10500.6644374329","11517.1831415719","11929.4357545863","12060.6378612563","11907.1138086166","11851.6380774123","11918.1728728708","13067.0030625984","12977.8834441287","13870.9727657686","15370.7175492259","16515.3412026016","18133.6820743884","19420.5741365182","18875.2475265641","20258.7313801923","19722.1707304006","20611.8160088209","20846.1422462836","21066.4560831244","20515.2244725237","19274.3419917868","18551.6886620932","17662.3296635837","16924.3317469842","15800.7733801727","15410.945810578",
"Albania","ALB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8868.36714498371","10479.9458032524","10948.8552575499","11378.7831261911","12218.6542506718","13428.2805725486","12219.9028345387","13996.7993001429","16203.7789324839","17055.7562411081","18554.3744844649","19189.4635202711","20234.7985372449","21403.0506474932","22755.657683707","24319.0440163721","26265.9182851049","27726.9300491475","27787.0251431504","28690.6764037244","26728.2246721792","28300.3367522243","31844.8388344334","32525.6780031372","31588.4193456748","30852.6132156736","30850.4059204819","30888.1005121102","30722.8562670698","31683.9659987715","33603.7858530398",
"Andorra","AND","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39648.1514428163","40293.1096967034","40144.7064365071","39796.8561371709","40030.1915433618","40282.4055583161","40683.1721241295","41672.2259279747","40920.6121966111","42742.9922424374","42615.8860658064","42226.2768756092","42829.8582387417","44481.4459528246","45232.0258534137","45587.830439702","45562.4739524848","46369.6800386481","44958.2199682178","45296.925676209","46402.1139982212","47934.788805942","47973.4978489124","48713.9218386895","49855.8583427185","50440.0116414711","50778.4740672916","51126.7517896238","50445.1910418341","49359.6320959645","50297.6631558939",
"United Arab Emirates","ARE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194290.400670356","187958.9483627","178565.39011391","180318.947326251","182231.511168034","180725.309979257","181492.552328441","168957.310131428","161504.634183256","166752.424898821","158485.852253122","152731.564148961","156924.185869342","163039.767870898","158169.261591038","148644.04157411","124888.684628161","106018.595030844","86574.9184752359","82329.2623085814","86941.0406138938","89922.5748378097","93154.5700787594","95659.0708435369","100719.447886276","104935.556262749","105547.646440119","108245.235789174","108718.755357532","108572.736105563","111260.404906724",
"Argentina","ARG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38432.1703220673","40679.8226030969","44517.6834578137","46813.6478012359","48999.1932856946","49463.1191627602","50623.5713367451","50273.1168209428","49062.5433694407","48696.3122526016","47688.24484988","44144.9168661297","44387.7751255937","46061.0873039891","48662.6131243053","50782.6902431485","54241.1745234796","55924.341346986","52043.8674146884","56943.432764564","58705.4135975736","57598.9014366423","58507.6343872866","56885.1795777604","58049.2302450171","56691.838895861","57915.6287557839","55460.3885557411","53385.381146383","51985.9368502855","52192.7440471056",
"Armenia","ARM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12220.9201841873","7226.62971425114","7075.20547114997","7737.0470578139","8372.50881588643","9128.77695785779","9605.95910813899","10158.0235528458","10704.9613812697","11308.5546638301","12354.1742443258","13919.6337155855","15762.2464538412","17277.5797551147","19538.4040794275","21949.7520071105","24803.2190034906","28052.4878556403","25009.2163751059","24639.2593052295","25113.8426200919","26548.572921483","27080.9147189745","29025.7277064314","30801.1024614725","31474.9184454232","34307.2576481821","38493.4677096407","40650.0918089103","41515.8731714496","43431.5568574779",
"American Samoa","ASM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68406.9420500867","69036.428277848","71690.8583934876","72245.0306912553","72399.1482298346","74206.1073291417","76484.7323554907","78625.1259473862","81061.3053455665","82072.0663791138","82687.1573956385","84387.2721420846","85085.0617639954","87188.5998727864","87012.2919098941","87290.5445061173","87845.1591548055","88478.9896086742","89466.3671024613","89623.7308455793","90239.5481273703","92616.8497867836","94111.4959294903","95872.0434998119","96047.8279778776","96970.5261698895","96938.3972750907","97173.2428385081","97080.2715986766","98380.6360053196","97741.5675916097",
"Austria","AUT","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86381.778310559","86360.5876566099","86628.9894661738","84244.5160774122","86531.7439368735","90129.0231614493","92230.7433342886","94939.7063619627","96847.5298828957","100110.910661594","100814.421950581","101372.099937978","101204.773294843","107670.054404617","106412.60377714","107817.36156074","109092.668676509","108753.931479394","104899.51059664","105875.87353728","107924.383973169","107838.280341408","107323.78105341","107837.943582434","107781.139236478","108284.517029424","109414.352093049","110508.987226577","111276.362719965","105604.662890952","110987.103021292",
"Azerbaijan","AZE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15829.993853361","11908.6425479441","9024.51565357757","7091.39627826416","6119.76648641262","6159.2179866684","6507.54227488216","7162.58319178812","7669.91782071119","8514.5850481194","9308.03471701064","10130.5499283709","11100.1999368637","12027.8629720913","15202.2782062097","20308.962916476","24809.2649998443","26892.2033499335","29168.6447378484","30258.3624129697","29977.490929629","30235.7621113279","31439.4851895074","31715.0817650662","31554.8115647856","29976.5885727396","29614.7941051316","29626.9101463849","30196.2532374393","30845.5185625498","31837.3659268598",
"Burundi","BDI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2668.39505788493","2640.84132308508","2689.51957591571","2598.89327057742","2180.78920663348","2044.01863118423","2043.33933511385","2095.2586819909","2006.63325374792","1939.66587708082","1919.25395139959","1938.37794002361","1846.27203047873","1853.04565978872","1797.13354591071","1829.1414246453","1828.89859938495","1842.79590211485","1820.27696430153","1837.16765119489","1864.47256093504","1901.28669656139","1947.99238678453","1987.31511412006","1891.15001662222","1873.0756740082","1848.1503618546","1816.18294848063","1775.85175142247","1737.34617894222","1709.30440140421",
"Belgium","BEL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96012.9274576182","96096.5489912141","96011.589345853","99249.1915789147","100518.610563261","101946.122498552","104617.79725277","106080.11233298","106486.021659343","106909.377130899","110124.8951816","111607.981662862","112742.952423629","114200.163036654","114633.003455196","116807.173472487","117984.554806494","116703.041034461","115019.924182946","116456.36883084","117374.817460347","117928.317842573","118389.771791312","119969.005144297","122103.851145877","122592.482810827","121417.946653687","120726.229391691","121473.381217136","115778.898426046","122315.834587206",
"Benin","BEN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516.83145325393","5513.09591007845","5532.01409374449","5422.96403606747","5673.60992079366","5781.09528076188","5931.04255625794","5968.73347730961","6082.1123275952","6227.38888043087","6345.22560250747","6423.72135388704","6432.45764372689","6503.49242993669","6390.18594111624","6427.68149314731","6611.18640096236","6719.7264846859","6655.37044322214","6577.29077668243","6666.09912336266","6761.9740311859","7019.8175002335","7233.4494791709","7134.66351116719","7142.17752634937","7311.31307005478","7557.01465179991","7836.61226916363","7978.93234118198","8283.63167839403",
"Burkina Faso","BFA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2411.48694132926","2383.28084900264","2426.2833503061","2416.37844417029","2507.58053224747","2733.4331072326","2854.78406573827","2999.15051093418","3147.54774987577","3132.53654619275","3258.38595320553","3318.70084129312","3492.94594121826","3587.56781381614","3834.66677259618","3977.14134935248","4048.86359722272","4219.15403704021","4283.43314278785","4578.11189702571","4811.78504533974","5043.88487551432","5256.49237329013","5403.30347124606","5452.50251771402","5605.04083708614","5775.31319726927","5976.0857968914","6124.40688288597","6115.00753127998","6310.29038186996",
