"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.2900009155273","","","64.6800003051758","","","57.75","",
"Africa Western and Central","AFW","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","","","","69.129997253418","","89.1100006103516","","","68.6600036621094","","","","","","","",
"Albania","ALB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.5999984741211","","","65.0199966430664","","79.1900024414063","78.9000015258789","81.3000030517578","77.9700012207031","74.5199966430664","73.0599975585938","73.4300003051758","74.379997253418","73.2699966430664","74.129997253418","73.2200012207031","62.1199989318848","62.7000007629395","","",
"Andorra","AND","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.4000015258789","80.2399978637695","","","",
"Argentina","ARG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1399993896484","84.370002746582","84.9499969482422","","83.8499984741211","83.879997253418","83.8399963378906","83.6399993896484","82.4700012207031","82.6500015258789","82.2099990844727","","","79.0299987792969","79.5800018310547","80.4100036621094","77.2399978637695","79.1600036621094",
"Armenia","ARM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2200012207031","70.5","60.810001373291","71.5100021362305","69.1100006103516","64.9800033569336","70.3199996948242","74.5100021362305","76.8600006103516","74.620002746582","73.6100006103516","79.0800018310547","79.3300018310547","76.2699966430664","",
"American Samoa","ASM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.7200012207031","86.3300018310547","86.6399993896484","86.8600006103516","82.5800018310547","81.2799987792969","82.0899963378906","81.4199981689453","81.8000030517578","77.7799987792969","78.0699996948242","76.8300018310547","",
"Austria","AUT","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.120002746582","82.4599990844727","83.6500015258789","85.4300003051758","80.1800003051758","81.6999969482422","82.370002746582","80.8399963378906","81.0999984741211","74.7099990844727","75.8600006103516","76.379997253418","77.1600036621094","75.4400024414063","75.8399963378906","75.4700012207031","76.0699996948242","76.6500015258789","77.0100021362305","76.6800003051758","76.7900009155273","76.75","77.2300033569336","76.6399993896484","76.6100006103516","76.7699966430664","76.7699966430664",
"Azerbaijan","AZE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5999984741211","","","","","","","","76.0800018310547","","","","","","59.1599998474121","",
"Belgium","BEL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.5500030517578","81.6399993896484","81.7600021362305","81.7099990844727","81.5599975585938","81.5500030517578","82.3300018310547","83.6399993896484","83.7600021362305","82.2600021362305","81.3499984741211","81.2900009155273","81.5299987792969","81.8399963378906","78.6100006103516","79.2399978637695","78.3199996948242","77.620002746582","76.9599990844727","76.0699996948242","75.9100036621094","75.8300018310547","75.7399978637695","75.0199966430664","75.0500030517578","75.4100036621094","75.1600036621094","74.9100036621094","74.9599990844727","75.2799987792969",
"Benin","BEN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1699981689453","","","","","","","42.4300003051758","","","",
"Burkina Faso","BFA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2200012207031","","","","71.1100006103516","","","",
"Bangladesh","BGD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.5800018310547","","","","85.8399963378906","","","80.0899963378906","","","77.5199966430664","79.6399993896484","","","","",
