"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121955049","125453912","128833304","132149830","135661404","139569754","143565774","147476713","151611921","156051286","160695350","165572958","170702670","175975304","181329835","186818651","192002021","197191052","202509853","207294185","212274210","218081893","224270791","231255256","238203331","246038744","253584828","261328490","269106599","277366044","278159718","289391094",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2631123","2636111","2948144","3410549","3745327","3956428","4095620","4232545","4375276","4535625","4585069","4614655","4925067","5320158","5548197","5794645","6070572","6109636","6197115","6486771","6720461","7085822","7520865","7881567","8285362","8630723","8913938","9254594","9610077","9981792","9105733","9390149",
"Africa Western and Central","AFW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74675274","76721304","78899620","81112530","83327050","85660669","88103425","90583094","93167814","95721029","98299870","100980224","103715522","106537793","109484603","112420393","115422588","118446669","121331635","124267640","127238580","130557969","131273550","131843021","134957702","138543056","142343598","146308854","150497179","154859306","156461466","161849621",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4888082","5042872","5200240","5358910","5525611","5709250","5909252","6119493","6335826","6556367","6786459","7030534","7285429","7554548","7838694","8134167","8442694","8763142","9093840","9435749","9793697","10176620","10567502","10968059","11377339","11795339","12233354","12690375","13155619","13633330","13922090","14462432",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1377071","1436216","1445625","1419498","1396741","1366493","1345815","1364080","1347479","1327134","1318273","1304987","1308103","1294847","1281167","1266464","1249959","1231498","1212147","1258916","1270655","1388801","1328695","1227940","1256110","1308343","1354998","1377319","1409389","1433004","1369908","1377655",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61329175","63016663","65235360","67761584","70366416","72277812","74327891","76464331","78532600","81652331","83631631","85205921","86484893","89403705","92358733","95651502","99533153","103621076","107134220","110540970","114857264","117116067","120101582","123275167","125370879","127571108","130400426","131639718","133562389","136559891","135702810","138441256",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","991479","1064397","1136788","1211762","1282154","1353474","1445345","1558403","1681608","1811743","1945807","2081134","2215619","2348700","2480809","2687261","3134844","3847328","4670310","5416179","5774935","5836847","5905778","5980504","6058224","6135455","6208324","6269995","6187230","6220791","5978949","6073637",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13422692","13855135","14267494","14694438","15067333","15198478","15563788","15998849","16315055","16414524","16591106","16649055","16478531","16945135","17425150","17545905","17877291","17924078","17966575","18324356","18255866","18663922","18835226","18964106","19049721","19229475","19404277","19580710","20103008","20607477","19406591","21206029",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1324707","1345796","1327237","1282043","1252897","1239010","1237508","1235523","1234287","1234397","1235341","1237463","1241360","1247177","1253765","1260793","1267543","1272744","1267357","1281723","1338960","1365792","1365906","1364749","1340268","1315555","1279945","1263559","1203266","1215999","1145653","1153003",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8482919","8521706","8589431","8619628","8780806","8978386","9101630","9160933","9253911","9338857","9523255","9692915","9837966","10013838","10126070","10426942","10650659","10937240","11228764","11471850","11661196","11842238","12006302","12176891","12316359","12554514","12728417","13006679","13308365","13590353","13590200","13786254",
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3510709","3569407","3651422","3684501","3851283","3882088","3852167","3837968","3877122","3902046","3901800","3895879","3973267","4014294","3919678","4046427","4114656","4201262","4243342","4285964","4302610","4332472","4379686","4423190","4444847","4497039","4579306","4609337","4642407","4662739","4638300","4660820",
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3413232","3459447","3591935","3748044","3903670","4028359","4094312","4145030","4183975","4238755","4284385","4265120","4247219","4230995","4211287","4230043","4229603","4314542","4386638","4414623","4465294","4501605","4548760","4618039","4700833","4778921","4876615","4946024","5012911","5038698","4801969","4919135",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2551966","2574662","2628288","2420452","2408902","2643925","2595333","2554491","2609158","2697601","2767012","2853819","2951267","3061436","3197223","3327071","3445542","3565508","3710783","3899623","4061140","4162774","4263155","4365339","4460030","4505417","4521187","4604955","4761336","4957874","5090484","5271390",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3945699","4035746","4081207","4106266","4171786","4202858","4205314","4229113","4269462","4371569","4416525","4315763","4365043","4402418","4485839","4626679","4646803","4728844","4777353","4797214","4893955","4876780","4910968","4962050","4978926","4989597","4997187","5086330","5144068","5194405","5168148","5240308",
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015321","2076745","2140165","2255088","2345579","2375000","2429876","2502067","2582840","2667735","2755776","2846533","2939918","3038386","3139548","3251640","3361334","3464881","3577586","3697926","3822693","3947757","4071511","4196156","4324282","4456338","4591939","4731297","4875368","5024197","5130441","5294828",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4071022","4162241","4222905","4290284","4364455","4443793","4522973","4604246","4701427","4814344","4933796","5059121","5187760","5316273","5443471","5567467","5683357","5790842","5886292","5978737","6071773","6168443","6272750","6376479","6481181","6683857","6897429","7119083","7343939","7573989","7748512","8015643",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36126941","37096114","38098813","39171203","40298872","41462094","42569055","43731470","44958527","46223586","47489412","48705401","49879497","51003249","52103505","53147726","53950191","54599226","55151452","55755783","56625230","57602724","58662412","59781775","60904128","62009867","63166278","67164740","68602526","69947900","69331239","70961067",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3926147","3930233","3931230","3863462","3813982","3760700","3703303","3642463","3580044","3519675","3459130","3488558","3393905","3322992","3353786","3282858","3369624","3432706","3486533","3409927","3405748","3323514","3335298","3363140","3357878","3333481","3265483","3364252","3338430","3391873","3311854","3290519",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224733","230884","241232","250776","261010","271776","283480","295276","307341","319338","331593","342136","357529","380530","419226","466824","515610","565331","615974","667547","695705","684092","696184","720622","747067","776309","806110","836667","857991","863214","823466","819130",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132189","136330","140502","144604","148669","152066","154831","160574","165947","171382","174314","177224","181017","183456","185976","188338","190694","193112","195512","197729","200345","203240","213028","211642","215344","218993","222582","226064","229603","233020","215471","224384",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1574573","1599614","1518323","1387759","1314289","1311218","1379978","1443222","1473323","1481165","1493658","1503765","1506766","1504588","1487898","1463817","1449949","1462141","1437612","1407406","1414907","1375775","1357468","1325986","1315021","1313339","1273440","1236865","1211836","1194896","1201963","1169225",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4540491","4554514","4616262","4677683","4751169","4816116","4816904","4779694","4759745","4762185","4806409","4850471","4888427","4920176","4948814","4970375","4987710","5005125","5020103","5031202","5037008","5038300","5039779","5045479","5056566","5072872","5088298","5076833","5068873","5042341","4995995","4950458",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56422","58128","59895","61593","63258","66510","70342","74702","77887","82191","85987","89751","93550","97441","101437","105569","109868","114338","118970","123774","128753","133836","138977","144234","151065","156821","162580","166748","171397","175804","170682","176872",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2914414","2993924","3060379","3141994","3228536","3315667","3402390","3493482","3567355","3642938","3720613","3826824","3936217","4050481","4168934","4291420","4417572","4470360","4570941","4696931","4799179","4902372","4776939","4929363","5186538","4978794","5103906","5306478","5663066","5684739","5277798","6322445",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59779935","61213691","63110657","65062600","67070700","69127314","68914390","71474305","73342473","75636214","77972521","80317474","82888849","84460054","87009759","89469663","90512920","91618386","92876048","94641957","94433750","94153068","95207555","96414132","97479808","98977463","100006946","101746434","102779258","104559401","96675660","99470102",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132198","128857","131634","133816","135914","137944","136149","138182","138898","139642","142025","144594","143335","145813","147648","148408","145822","146641","147080","146320","146204","149131","146825","148815","143345","144417","148685","147106","146039","143823","137621","139147",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109777","113252","116511","119656","123102","126879","131035","135597","140530","145734","151128","156664","161368","166039","170625","175084","179379","183516","187518","191393","195182","198598","200259","201720","203072","204352","205465","206363","218003","217445","218013","219828",
